Program,University,Country,Field,Open now?,Key English rule,Fees (tuition),Next deadline,Application link
M.Sc. Data Science & AI,Saarland University,Germany,AI / Data,"Yes (deadline Nov 15, 2025)",Lectures in English; page does not list per-band minima,No tuition; semester fee ~€394.30 (WS25/26),2025-11-15,https://saarland-informatics-campus.de/en/studium-studies/data-science-and-artificial-intelligence-master/
M.Sc. Artificial Intelligence Engineering,University of Passau,Germany,AI / Engineering,"Yes (deadline Dec 15, 2025)",English B2+,No tuition; semester fee ~€123.70 (SS26),2025-12-15,https://www.uni-passau.de/en/msc-ai-eng
M.Sc. Computer Science,TU Delft,Netherlands,Software / CS,"Yes (deadline Jan 15, 2026)",Typical MSc: IELTS ≥7.0 with ≥6.5 each (programme regs),Standard NL non‑EU tuition (see TU Delft fee tables),2026-01-15,https://www.tudelft.nl/onderwijs/opleidingen/masters/cs/msc-computer-science/admission-and-application/non-eu-efta-applicants-with-an-international-bachelor-degree
M.Sc. Artificial Intelligence,University of Amsterdam,Netherlands,AI,"Yes (deadline Jan 31, 2026)",IELTS 7.0 with ≥6.5 each (Faculty of Science),NL tuition (see UvA fee tables),2026-01-31,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/application-and-admission.html
M.Sc. Computer Science,University of Tartu,Estonia,Computer Science,"Opens Jan 2, 2026 (deadline Mar 15, 2026)","IELTS ≥6.0, no band <5.5","€6,000/year",2026-03-15,https://ut.ee/en/content/bachelors-and-masters-studies-university-tartu
"M.Sc. Cyber Security (EIT Digital, double degree)",EIT Digital Master School,Multi‑EU,Cybersecurity,"Yes (Period 1 closes Feb 11, 2026)",IELTS ≥6.5 and no section <6.0,Fee‑paying programme; scholarships available,2026-02-11,https://masterschool.eitdigital.eu/cyber-security
MSc Blockchain & Digital Currency,University of Nicosia,Cyprus (online),Blockchain / Web3,Yes (Next start: Feb 2026),Standard MSc English (see UNIC),"≈€14,560 total (check current page)",2026-02-01,https://www.unic.ac.cy/iff/education-and-training/master-degrees/msc-in-blockchain-and-digital-currency/
M.Sc. in Blockchain & DLT (ICT stream),University of Malta,Malta,Blockchain / DLT,Next cycle not yet posted (monitor UM Dates & Deadlines),Typically IELTS ≥6.5 overall (confirm per cycle),Published per cycle; historically moderate,,https://www.um.edu.mt/dlt/masters/
M.Sc. Quantum Information Science (joint KU/DTU),University of Copenhagen (admission) & DTU,Denmark,Quantum / CS / Physics,"Opens Nov 15, 2025 (deadline Jan 15, 2026)",UCPH MSc English proof; IELTS/TOEFL within 2 years,Non‑EU tuition per Danish rules,2026-01-15,https://science.ku.dk/english/qa/application-process-non-eu/
MSc Machine Learning,KTH Royal Institute of Technology,Sweden,AI / Machine Learning,Yes (Autumn 2026 via UniversityAdmissions),"English 6 (IELTS ≥6.5, no band <5.5)","≈ SEK 360,000 total (SEK 180,000/yr)",2026-01-15,https://www.kth.se/en/studies/master/machine-learning
MSc Computer Science,Uppsala University,Sweden,Computer Science,Yes (Autumn 2026 via UniversityAdmissions),"English 6 (IELTS ≥6.5, no band <5.5)","SEK 300,000 total",2026-01-15,https://www.uu.se/en/admissions/master/selma/program/?pKod=TDA2M
"MSc Machine Learning, Systems & Control",Lund University,Sweden,AI / Control,Yes (Autumn 2026 via UniversityAdmissions),"English 6 (IELTS ≥6.5, no band <5.5)","SEK 370,000 total",2026-01-15,https://www.lunduniversity.lu.se/lubas/i-uoh-lu-TAMLR
MSc Software Engineering & Technology,Chalmers University of Technology,Sweden,Software Engineering,Yes (Autumn 2026 via UniversityAdmissions),"English 6 (IELTS ≥6.5, no band <5.5)","≈ SEK 140,000–170,000/yr (check programme page)",2026-01-15,https://www.chalmers.se/en/education/programmes/masters-programmes/software-engineering-and-technology/
MSc Cybersecurity,TalTech (Tallinn University of Technology),Estonia,Cybersecurity,Opens for Autumn 2026 (exact date TBA),B2 (IELTS ≥6.0),"€6,000/yr",,https://taltech.ee/en/speciality/cyber-security
Master in Innovation and Research in Informatics (MIRI),UPC Barcelona,Spain,Computer Science (tracks in DS/HPC/SE/Networks),Open per semester (check ETSINF/ETSETB cycle),B2 (CEFR),"Public rates; guide ~€2,700/yr (confirm on site)",,https://www.mastersininformatics.eu/
MSc Computer Engineering,Politecnico di Torino,Italy,Computer Engineering,Rolling windows per cycle,B2 (IELTS ≥6.0),"Contribution-based; from ~€2,600/yr",,https://www.polito.it/en/education/master-s-degree-programmes/computer-engineering
MSc Computer Science,University of Bonn,Germany,Computer Science,Per semester (check CS admissions),English B2,No tuition; semester contribution only,,https://www.cs.uni-bonn.de/en/studying/master-computer-science
M.Sc. Open Informatics,Czech Technical University (CTU),Czech Republic,Informatics / CS,"Yes (application window to Mar 30, 2026)",B2 + admission test/interview,"CZK 132,000/yr (~€5,200/yr)",2026-03-30,https://oi.fel.cvut.cz/en/study/master/
MSc Data Science (MiNI),Warsaw University of Technology (WUT),Poland,Data Science / AI,Oct/Feb intakes (check current call),B2 / IELTS ≥6.0–6.5 (programme/faculty),"€6,540 per semester (Data Science)",,https://www.mini.pw.edu.pl/eng/Studies/Master-Programmes/Data-Science
MSc (Computer Science / Cyber tracks),Wrocław University of Science and Technology (WUST),Poland,Computer Science / Cybersecurity,Master studies calls per semester,IELTS ≥6.5 typical (check programme),Set per programme; fixed for study period (see WUST payments),,https://rekrutacja.pwr.edu.pl/en/offer/master-studies/
MSc Computer Science (Intelligent Systems),AGH University of Krakow,Poland,Computer Science / AI,Recruitment per cycle,B2 English,"€2,650 per semester",,https://aie.agh.edu.pl/en/studies/msc-computer-science/
MSc Computer Science,Charles University (Faculty of Mathematics and Physics),Czech Republic,Computer Science,Per application term (Autumn entry),IELTS/TOEFL accepted (≤2 years),"€7,100 per year (non‑EU)",,https://www.mff.cuni.cz/en/admissions/master-of-computer-science-program
"MSc Computer Systems, Communication and Security",Masaryk University (Faculty of Informatics),Czech Republic,Cyber / Systems / Networks,Calls per semester,IELTS ≥6.5 (no band <5.5),"€4,500 per year (indicative)",,https://www.fi.muni.cz/admission/master/
MSc Computer Science,Comenius University in Bratislava,Slovakia,Computer Science,Per-cycle (check deadlines),B2 English,"€1,800 per year (programme listing)",,https://uniba.sk/en/study/study-programmes/english-programmes/
MSc Informatics (English),Technical University of Košice (TUKE),Slovakia,Informatics / CS,Per-cycle (check FEI admissions),B2 English,"€6,000 per year (indicative)",,https://fei.tuke.sk/en/study/study-programmes/
MSc Data Science,Vilnius University,Lithuania,Data Science / AI,Spring/Autumn calls; typical May–July deadlines,IELTS ≥5.5,"€5,538 per year",,https://studyatvu.vu.lt/programmes/masters/data-science
MSc Data Science and Artificial Intelligence,Kaunas University of Technology (KTU),Lithuania,Data Science / AI,Calls per semester,IELTS ≥6.0,"€5,538 per year",,https://admissions.ktu.edu/programme/msc-data-science-and-artificial-intelligence/
MSc Computer Systems,Riga Technical University (RTU),Latvia,Computer Systems / CS,Per semester (Autumn/Spring),IELTS ≥5.5,"€5,590 per year; €150 application fee",,https://international.rtu.lv/programme/computer-systems/
MSc Computer and Information Science,University of Ljubljana (FRI),Slovenia,Computer Science,Application calls per year,Proof of English; B2 typical,"€14,700 per year (non‑EU)",,https://www.fri.uni-lj.si/en/studies/master
